,Alice_age,Rest_age,out
0,26.102988632206863,19.261479926217305,17.857142857142858
1,17.270205284174608,19.236974521284782,15.0
2,37.77365529307097,19.05138348432241,20.714285714285715
3,40.90248281052871,19.119103773996446,23.571428571428573
4,30.89784680519636,19.21730742153219,20.714285714285715
5,48.20575697355776,19.074526567591885,23.571428571428573
6,31.411099358527395,19.210968951358346,20.714285714285715
7,13.94808338214232,19.04217708913015,15.0
8,23.248993731846813,19.131250564838066,17.857142857142858
9,12.89014149120398,19.117833395945894,15.0
10,20.50553266938035,19.060924441812023,17.857142857142858
11,31.124620180550956,19.08226005671195,20.714285714285715
12,35.668355491706414,19.200769791140004,20.714285714285715
13,49.17713554697435,19.126775500437287,23.571428571428573
14,14.42755507627048,19.06013117982198,15.0
15,27.564075696514585,19.46466540535933,17.857142857142858
16,10.205826825642376,18.96895449974118,15.0
17,33.55809341640808,19.078262806258277,20.714285714285715
18,28.365458528782778,19.026487083025668,17.857142857142858
19,49.270873888975196,19.153686346806666,23.571428571428573
20,34.81386901504236,19.247614414846932,20.714285714285715
21,43.09611730585184,18.97352244324148,23.571428571428573
22,22.052925323227083,19.1017449047412,17.857142857142858
23,45.714834975040525,19.272740278423896,23.571428571428573
24,14.959452221799685,19.04058803741959,15.0
25,35.54077267000992,19.10662017127062,20.714285714285715
26,13.522183199283152,19.055361643504472,15.0
27,23.39879103944704,18.98731199614093,17.857142857142858
28,14.838195654231075,19.129386671612593,15.0
29,13.388491695332547,19.212523830812,15.0
30,11.708941444766872,18.95499722717938,15.0
31,20.624968510615783,19.1428803685415,17.857142857142858
32,41.900754059447095,19.172538745314395,23.571428571428573
33,18.32397780839601,19.16872259716474,15.0
34,12.455391723478746,19.00017306940929,15.0
35,30.07670117837892,19.12978817339629,20.714285714285715
36,32.706191895083876,19.05903351998252,20.714285714285715
37,37.99407208331914,19.20812409115643,20.714285714285715
38,20.812829073796486,19.057733428314844,17.857142857142858
39,35.100878483853855,19.167430192841437,20.714285714285715
40,23.831453073560688,19.036138000266284,17.857142857142858
41,41.738832128006635,19.114661267918837,23.571428571428573
42,36.43318915257365,19.10640131593715,20.714285714285715
43,40.144960043414414,19.146956374532262,23.571428571428573
44,19.839993074291435,19.028720556832027,15.0
45,46.30483337138387,19.22680049664624,23.571428571428573
46,16.82071057911248,18.76211534959213,15.0
47,47.89379572114497,19.039011393361346,23.571428571428573
48,26.57385103983655,18.989933886806433,17.857142857142858
49,38.077172753930654,19.26925471175145,20.714285714285715
50,39.49785995745948,18.88603158422721,20.714285714285715
51,21.565296666456728,19.168673162607654,17.857142857142858
52,30.469188529001308,19.077840309278525,20.714285714285715
53,14.562651477493414,19.17634719779745,15.0
54,46.41251011302337,19.047061556020193,23.571428571428573
55,45.55799940878475,19.03336947209029,23.571428571428573
56,32.05501509497975,18.981549923350382,20.714285714285715
57,40.23372199988424,18.98032963764479,23.571428571428573
58,10.976521167894244,19.248253900952456,15.0
59,23.371111340495595,18.961288403425822,17.857142857142858
60,34.73672454529577,19.248711611654365,20.714285714285715
61,15.136019500371818,18.937984196984495,15.0
62,16.765510764773865,19.13593216362781,15.0
63,13.719453370996991,19.075275303751532,15.0
64,34.21240409400623,19.045672278957248,20.714285714285715
65,39.80809757655956,19.052414896822206,20.714285714285715
66,21.310797923142925,19.072528578898332,17.857142857142858
67,28.23525654697307,19.10988922013039,17.857142857142858
68,32.849627586348305,18.97991076451488,20.714285714285715
69,45.94941886725153,18.89901240704778,23.571428571428573
70,23.382181999911698,18.87013488254477,17.857142857142858
71,27.61104598073144,19.196600867958626,17.857142857142858
72,33.659508390342324,19.130114535126964,20.714285714285715
73,38.36189043858364,19.071071223619384,20.714285714285715
74,48.47167430029583,19.066799006968704,23.571428571428573
75,42.63734576724568,19.110715094996394,23.571428571428573
76,44.757449872249154,19.24959417061582,23.571428571428573
77,20.695314684451873,19.183358287276448,17.857142857142858
78,11.637725107677156,19.150973907444673,15.0
79,11.273448355862516,19.11713585991361,15.0
80,29.848295189798066,19.04980322779541,17.857142857142858
81,33.61092717860702,18.898503677195045,20.714285714285715
82,40.525734483250915,19.119324143865995,23.571428571428573
83,45.70217911027722,19.212277134042864,23.571428571428573
84,44.78894426734924,18.99697201363276,23.571428571428573
85,17.53201309885613,19.000782988828803,15.0
86,31.007983725192076,19.117228968962444,20.714285714285715
87,24.24559920388988,19.045243122395377,17.857142857142858
88,18.649809166897157,19.105656877032025,15.0
89,21.424713721274937,19.172631710962836,17.857142857142858
90,17.928347201452514,19.051558526318843,15.0
91,23.863084330320273,18.86670120413544,17.857142857142858
92,31.487690507229086,19.020477882299375,20.714285714285715
